run_id,arm,task_id,labels
GAMESS__lZL2bLfP__NONE__0,NONE,GAMESS__lZL2bLfP,parser_from_scratch
GPAW__OmD7TXGK__BARE__0,BARE,GPAW__OmD7TXGK,wrong_parser
GPAW__OmD7TXGK__COMPLEXITY__0,COMPLEXITY,GPAW__OmD7TXGK,
GPAW__OmD7TXGK__DOCS__0,DOCS,GPAW__OmD7TXGK,
GPAW__OmD7TXGK__FULL__0,FULL,GPAW__OmD7TXGK,wrong_parser
GPAW__OmD7TXGK__NONE__0,NONE,GPAW__OmD7TXGK,
GPAW__ebTSTiuP__BARE__0,BARE,GPAW__ebTSTiuP,wrong_parser
GPAW__ebTSTiuP__COMPLEXITY__0,COMPLEXITY,GPAW__ebTSTiuP,
GPAW__ebTSTiuP__DOCS__0,DOCS,GPAW__ebTSTiuP,
GPAW__ebTSTiuP__FULL__0,FULL,GPAW__ebTSTiuP,
GPAW__ebTSTiuP__NONE__0,NONE,GPAW__ebTSTiuP,
GPAW__kBTQasoI__NONE__0,NONE,GPAW__kBTQasoI,
Gaussian__N5IbCCIs__BARE__0,BARE,Gaussian__N5IbCCIs,
Gaussian__N5IbCCIs__COMPLEXITY__0,COMPLEXITY,Gaussian__N5IbCCIs,
Gaussian__N5IbCCIs__DOCS__0,DOCS,Gaussian__N5IbCCIs,
Gaussian__N5IbCCIs__FULL__0,FULL,Gaussian__N5IbCCIs,
Gaussian__N5IbCCIs__NONE__0,NONE,Gaussian__N5IbCCIs,gave_up
Gaussian__TRpxYNCX__BARE__0,BARE,Gaussian__TRpxYNCX,
Gaussian__TRpxYNCX__COMPLEXITY__0,COMPLEXITY,Gaussian__TRpxYNCX,
Gaussian__TRpxYNCX__DOCS__0,DOCS,Gaussian__TRpxYNCX,
Gaussian__TRpxYNCX__FULL__0,FULL,Gaussian__TRpxYNCX,
Gaussian__TRpxYNCX__NONE__0,NONE,Gaussian__TRpxYNCX,parser_from_scratch
Gaussian__mmBkEUCv__BARE__0,BARE,Gaussian__mmBkEUCv,
Gaussian__mmBkEUCv__COMPLEXITY__0,COMPLEXITY,Gaussian__mmBkEUCv,
Gaussian__mmBkEUCv__DOCS__0,DOCS,Gaussian__mmBkEUCv,
Gaussian__mmBkEUCv__FULL__0,FULL,Gaussian__mmBkEUCv,
Gaussian__mmBkEUCv__NONE__0,NONE,Gaussian__mmBkEUCv,parser_from_scratch
Gaussian__t1ZAa57J__BARE__0,BARE,Gaussian__t1ZAa57J,
Gaussian__t1ZAa57J__COMPLEXITY__0,COMPLEXITY,Gaussian__t1ZAa57J,
Gaussian__t1ZAa57J__DOCS__0,DOCS,Gaussian__t1ZAa57J,
Gaussian__t1ZAa57J__FULL__0,FULL,Gaussian__t1ZAa57J,
Gaussian__t1ZAa57J__NONE__0,NONE,Gaussian__t1ZAa57J,parser_from_scratch
LAMMPS__5ENjXmFF__BARE__0,BARE,LAMMPS__5ENjXmFF,wrong_parser;silent_empty;gave_up
LAMMPS__5ENjXmFF__COMPLEXITY__0,COMPLEXITY,LAMMPS__5ENjXmFF,gave_up
LAMMPS__5ENjXmFF__DOCS__0,DOCS,LAMMPS__5ENjXmFF,wrong_parser;silent_empty;gave_up
LAMMPS__5ENjXmFF__FULL__0,FULL,LAMMPS__5ENjXmFF,wrong_parser;silent_empty;gave_up
LAMMPS__5ENjXmFF__NONE__0,NONE,LAMMPS__5ENjXmFF,gave_up
NWChem__yL5fT-q___BARE__0,BARE,NWChem__yL5fT-q_,wrong_parser;silent_empty;gave_up
NWChem__yL5fT-q___COMPLEXITY__0,COMPLEXITY,NWChem__yL5fT-q_,wrong_parser;silent_empty;gave_up
NWChem__yL5fT-q___DOCS__0,DOCS,NWChem__yL5fT-q_,wrong_parser;silent_empty;parser_from_scratch;gave_up
NWChem__yL5fT-q___FULL__0,FULL,NWChem__yL5fT-q_,wrong_parser;silent_empty;gave_up
NWChem__yL5fT-q___NONE__0,NONE,NWChem__yL5fT-q_,parser_from_scratch;gave_up
NWChem__yaQiW-Lj__BARE__0,BARE,NWChem__yaQiW-Lj,
NWChem__yaQiW-Lj__COMPLEXITY__0,COMPLEXITY,NWChem__yaQiW-Lj,
NWChem__yaQiW-Lj__DOCS__0,DOCS,NWChem__yaQiW-Lj,
NWChem__yaQiW-Lj__FULL__0,FULL,NWChem__yaQiW-Lj,
NWChem__yaQiW-Lj__NONE__0,NONE,NWChem__yaQiW-Lj,
ONETEP__SHh1xr_l__BARE__0,BARE,ONETEP__SHh1xr_l,wrong_parser;silent_empty;gave_up
ONETEP__SHh1xr_l__COMPLEXITY__0,COMPLEXITY,ONETEP__SHh1xr_l,gave_up
